areaSqm,longitude,latitude,propertyType,rent
16,6.098742,52.503625,Room,325
25,5.755612,51.862628,Room,300
11,5.78689,51.833812,Room,270
19,5.720381,50.846547,Room,480
18,5.812142,53.199676,Room,410
68,4.905988,52.347946,Apartment,1500
10,4.929934,52.397318,Room,550
14,6.567355,53.208232,Room,365
20,4.811823,52.355866,Room,775
11,4.935326,52.360185,Room,500
20,4.292514,52.083045,Room,337
12,4.91742,52.403126,Room,400
14,5.508441,52.514934,Room,550
36,4.450829,51.916358,Apartment,874
18,5.151396,52.088198,Room,400
12,4.480551,51.888787,Room,475
12,4.438563,51.914593,Room,400
17,5.491749,51.427322,Room,300
16,5.491749,51.427322,Room,275
16,5.491749,51.427322,Room,275
9,4.95077,52.320655,Room,270
56,4.461563,51.934879,Apartment,980
17,5.172984,52.022784,Room,290
16,5.483278,51.439931,Room,300
60,4.495439,51.893246,Apartment,1100
22,4.542879,51.943746,Room,500
16,6.575132,53.229938,Room,350
18,6.567135,53.214537,Room,345
87,4.742985,51.57361,Apartment,1400
10,4.857419,52.384267,Room,600
12,6.568047,53.020869,Room,325
12,5.871462,51.842768,Room,1
12,5.794322,53.197402,Room,247
12,4.839547,52.354464,Room,750
19,3.571869,51.449372,Room,350
23,4.516096,52.181297,Room,400
85,4.658149,52.379338,Apartment,1250
24,5.101805,52.099,Studio,690
70,5.854747,51.841498,Apartment,900
16,5.487045,51.432505,Room,325
14,4.438536,51.911391,Room,450
16,6.910171,52.222215,Room,375
10,6.881198,52.2124,Room,327
22,6.574786,53.217896,Room,320
20,5.907626,51.985502,Room,350
25,6.805832,52.268197,Room,395
25,6.805223,52.270178,Room,395
10,4.865952,52.279325,Room,600
25,6.801805,52.269495,Room,395
12,4.865952,52.279325,Room,525
8,5.042994,52.146645,Room,300
11,4.844973,52.351223,Room,750
12,5.663809,51.966389,Room,290
10,4.866914,52.373518,Room,1200
16,5.810481,53.210312,Room,354
21,5.714229,50.850308,Room,394
17,6.571734,53.215806,Room,385
14,4.365366,52.013187,Room,370
13,4.369936,52.016155,Room,310
30,4.927973,52.353333,Room,1000
12,4.480034,52.14067,Room,344
13,5.898218,51.968754,Apartment,350
13,5.898218,51.968754,Apartment,350
30,5.086907,51.583755,Apartment,710
55,4.483886,51.886321,Apartment,875
16,5.973827,52.200033,Room,450
16,4.980819,52.312962,Room,650
17,4.625526,52.385924,Room,430
112,4.457768,51.920694,Apartment,1195
14,4.500216,51.916351,Studio,495
61,5.297587,51.692916,Apartment,1375
40,5.071659,51.553959,Apartment,725
25,5.098293,51.5558,Studio,775
65,5.077476,51.564493,Apartment,719
60,5.932593,52.270923,Apartment,795
74,5.968647,52.213565,Apartment,875
90,4.731352,52.719518,Apartment,1295
216,6.070805,52.474482,Apartment,2500
98,5.413622,52.150299,Apartment,960
