,areaSqm,latitude,longitude,propertyType,rent,shared
3194,12,52.78706999999999,6.893471000000001,Room,350,1
3195,20,52.190034999999995,5.940301,Room,475,0
3196,40,51.549158,5.0985510000000005,Apartment,780,0
3197,75,51.688726,5.307448,Apartment,1185,0
3198,110,51.679833,5.317252,Apartment,1350,0
3199,71,52.344189,4.896237,Apartment,2150,0
3200,25,51.993091,4.351559,Room,420,1
3201,37,53.106114,6.876705,Room,375,0
3202,13,52.076959,4.305535,Room,415,1
3203,25,51.543818,4.466768,Room,500,0
3204,15,51.76709,5.875411,Room,320,1
3205,21,52.335584000000004,4.88347,Studio,800,0
3206,20,53.231448,6.57918,Room,395,1
3207,16,51.427322,5.4917489999999995,Room,275,1
3208,80,52.371658000000004,4.944361,Apartment,1100,1
3209,12,51.979529,5.671989,Room,320,1
3210,65,52.365821000000004,4.907522,Apartment,1650,0
3211,6,51.919229,4.453587000000001,Room,300,1
3212,18,51.91809,4.4601809999999995,Room,495,1
3213,14,52.002116,4.354247,Room,450,1
3214,14,52.002116,4.354247,Room,450,1
3215,15,51.839881,5.858474,Room,300,1
3216,19,53.208231999999995,6.567355,Room,420,1
3217,10,52.432855,4.656256,Room,450,0
3218,39,53.218027,6.5765899999999995,Apartment,850,0
3219,50,51.433673,5.485609999999999,Studio,900,0
3220,12,52.092271999999994,5.06813,Room,550,1
3221,66,52.361031,4.927695,Apartment,1700,0
3222,133,51.444827000000004,5.517580000000001,Apartment,1595,0
3223,72,51.426258000000004,5.484448,Apartment,1350,0
3224,22,52.059114,4.342122,Room,455,1
3225,32,50.889915,5.976845,Studio,475,0
3226,130,52.133746,4.493113,Room,1800,1
3227,16,52.158873,4.4940739999999995,Room,600,1
3228,18,52.009407,4.354561,Room,470,0
3229,50,52.04249,4.281356,Apartment,860,0
3230,28,51.997126,4.373059,Room,360,1
3231,25,52.268197,6.8058320000000005,Room,395,1
3232,25,52.269495,6.801805,Room,395,1
3233,25,52.270178,6.805223,Room,395,1
3234,15,52.52333,6.083521,Room,395,1
3235,11,52.219406,6.8924710000000005,Room,380,0
3236,25,52.635142,4.760237999999999,Room,600,0
3237,30,52.00858,5.084891000000001,Room,400,1
3238,16,51.425913,5.459048999999999,Room,300,0
3239,15,52.080727,5.113638,Room,495,1
3240,10,52.350088,6.656553999999999,Room,325,1
3241,15,53.206134,5.7946800000000005,Room,315,1
3242,22,52.389764,5.180905999999999,Room,700,0
3243,12,51.926673,4.580509999999999,Room,575,1
3244,15,52.230782,6.902806,Room,290,1
3245,12,52.317265,4.9494940000000005,Room,600,1
3246,10,51.567419,4.775151999999999,Room,285,1
3247,50,52.369925,4.9302660000000005,Apartment,1450,0
3248,18,51.928984,4.506357,Room,450,1
3249,12,51.936134,4.341525,Room,390,0
3250,12,53.218413,6.569630999999999,Room,315,1
3251,25,51.551163,5.047052,Room,500,1
3252,10,51.936134,4.341525,Room,370,1
3253,10,51.965525,5.6615720000000005,Room,140,1
3254,12,51.444786,5.521452,Room,300,1
3255,25,51.551163,5.047052,Room,500,1
3256,20,52.312311,4.953924,Room,2000,0
3257,33,53.206134,5.7946800000000005,Room,450,1
3258,85,52.1396,5.043312,Apartment,1250,0
3259,50,52.376540999999996,4.8891029999999995,Apartment,1325,0
3260,61,50.814127,5.729466,Apartment,995,0
3261,51,50.814127,5.729466,Apartment,955,0
3262,25,50.849978,5.679195,Studio,675,0
3263,12,52.019626,4.3621419999999995,Room,312,1
3264,80,52.806932999999994,4.998164,Apartment,1500,0
3265,68,51.923565,4.395911,Apartment,1100,1
3266,10,52.012557,4.732901,Room,310,1
3267,30,52.136520000000004,5.754125,Anti-squat,650,0
3268,7,52.010061,4.370401,Room,280,1
3269,9,52.034063,5.647507,Room,255,1
3270,20,51.977554,5.920465,Room,475,1
3271,16,52.251177,6.849624,Room,300,1
3272,10,53.216149,6.552914,Room,417,1
3273,50,53.224630000000005,6.562283,Apartment,1095,0
3274,15,52.064219,4.290686,Room,600,1
3275,12,52.140243,5.608942,Room,295,0
3276,12,52.140243,5.608942,Room,295,0
3277,13,52.329008,4.962373,Room,700,1
3278,40,52.103547,6.052487,Anti-squat,250,1
3279,16,51.519802,5.0511800000000004,Room,300,0
3280,10,52.220355,6.897158,Room,270,0
3281,10,52.088834999999996,4.270791,Room,550,1
3282,30,51.985698,5.90268,Room,575,1
3283,40,51.936727000000005,6.348825,Anti-squat,250,1
3284,37,53.218444999999996,6.574096000000001,Apartment,1030,0
3285,17,51.922571999999995,4.509576999999999,Room,600,1
3286,6,52.065197,4.309682,Room,366,0
3287,9,52.213893,6.858905,Room,350,1
3288,70,52.509961,6.093957,Apartment,1350,0
3289,25,52.50721600000001,6.095966000000001,Apartment,670,0
3290,130,50.872828999999996,5.983849,Apartment,985,0
3291,50,52.235376,4.422741,Apartment,995,0
3292,45,52.256783,6.787126,Apartment,695,0
3293,91,51.887964000000004,4.467624,Apartment,1300,0
3294,11,52.343803,4.863783,Room,850,1
3295,27,51.575176,5.079901,Studio,615,0
3296,15,52.50666999999999,6.098622,Room,425,1
3297,16,53.186620999999995,5.781645,Room,375,1
3298,15,52.161687,4.478082,Room,425,1
3299,20,51.924924,4.4834,Room,700,1
3300,70,52.345149,4.861121,Apartment,1950,0
3301,9,52.375974,4.812053,Room,450,1
3302,37,51.971927,5.728578,Room,455,0
3303,17,52.229298,6.902303,Room,315,1
3304,14,52.028717,4.273875,Room,575,1
3305,15,51.554587,5.078914,Room,380,1
3306,13,51.932072,4.505167,Room,575,1
3307,15,52.23755,6.895785000000001,Room,385,1
3308,17,51.916472,4.463376,Room,530,0
3309,6,51.932072,4.505167,Room,450,1
3310,14,51.817681,4.774934,Room,360,1
3311,32,52.381321,4.860155000000001,Studio,1300,1
3312,32,52.381321,4.860155000000001,Studio,1300,1
3313,12,52.798636,6.9342619999999995,Room,300,1
3314,360,51.474301000000004,5.27209,Apartment,1695,0
3315,71,51.430781,5.463611,Apartment,1350,0
3316,16,52.368797,5.185318,Room,400,1
3317,20,52.097419,5.140592,Room,450,1
3318,30,52.136520000000004,5.754125,Anti-squat,650,0
3319,9,51.870646,5.733504,Room,350,0
3320,9,51.870646,5.733504,Room,350,0
3321,24,51.917763,4.475679,Room,900,1
3322,15,52.007715000000005,4.360572,Room,402,1
3323,28,53.215298,6.552662000000001,Studio,665,0
3324,14,51.964803,5.651674,Room,310,1
3325,13,51.590716,4.807493,Room,265,1
3326,9,51.579471000000005,4.643521,Room,330,1
3327,16,52.145725,5.397546,Room,450,0
3328,25,52.297278000000006,4.955973999999999,Studio,750,0
3329,15,53.21600600000001,6.569417999999999,Room,400,1
3330,20,52.013098,4.358385,Room,300,1
3331,18,52.221527,6.893641000000001,Room,320,1
3332,9,51.988453,4.346680999999999,Room,350,1
3333,25,52.082254999999996,5.142098000000001,Room,1000,1
3334,24,52.342163,4.780203,Room,600,1
3335,25,52.082254999999996,5.142098000000001,Room,1000,1
3336,70,52.379946000000004,4.647448000000001,Apartment,1400,0
3337,16,52.40215,5.306744,Room,425,1
3338,10,52.367001,4.871817,Room,450,1
3339,14,51.934483,4.469832,Room,500,1
3340,13,50.851794,5.666856,Room,445,1
3341,16,52.265228,6.801862,Room,275,1
3342,16,51.439931,5.483278,Room,300,0
3343,16,51.439931,5.483278,Room,300,1
3344,16,53.218413,6.569630999999999,Room,440,1
3345,17,53.217073,6.557834,Room,385,1
3346,16,52.095738,5.130415,Room,400,1
3347,18,53.232135,6.575829,Room,351,1
3348,15,50.926545000000004,5.758921,Room,350,1
3349,19,51.723715999999996,5.313919,Room,449,0
3350,26,51.723715999999996,5.313919,Room,475,1
3351,15,52.29318,4.697462000000001,Room,550,0
3352,70,52.369358,4.8886389999999995,Apartment,1400,0
3353,10,52.054159999999996,4.297505,Room,275,1
3354,19,51.915192,4.481618,Room,650,1
3355,18,52.377553000000006,4.536481,Room,725,1
3356,75,52.074518,4.308933000000001,Apartment,1050,0
3357,24,52.344157,4.79157,Room,600,1
3358,12,52.002001,4.350617,Room,297,1
3359,16,52.075485,4.317152,Room,475,1
3360,50,53.204097,5.801214,Room,550,1
3361,16,51.427322,5.4917489999999995,Room,265,1
3362,18,51.924471999999994,4.511042,Room,473,1
3363,15,51.444272999999995,3.5756330000000003,Room,275,1
3364,12,52.170379,4.476719999999999,Room,300,0
3365,30,51.801268,4.562453,Anti-squat,250,1
3366,12,53.223227,6.568763000000001,Room,310,1
3367,22,51.945425,4.5434,Room,570,1
3368,12,51.369104,6.1739559999999996,Room,340,1
3369,37,53.215779000000005,6.57004,Room,600,1
3370,24,51.984318,5.921083,Room,388,1
3371,15,52.373414000000004,4.813503,Room,750,1
3372,12,53.222204000000005,6.545126,Room,335,0
3373,12,53.222204000000005,6.545126,Room,335,0
3374,14,51.558802,5.084557,Room,300,1
3375,11,51.4369,5.467492,Room,310,1
3376,80,52.049029,4.276158000000001,Apartment,1300,0
3377,50,51.309109,6.112438,Anti-squat,183,0
3378,17,51.814951,4.674686,Room,575,1
3379,12,52.110821,5.094809,Room,599,1
3380,18,52.147244,4.664816,Room,425,1
3381,45,52.220040000000004,6.897978999999999,Apartment,925,0
3382,15,52.273149,6.803493,Room,275,1
3383,67,53.206761,5.8127629999999995,Apartment,650,0
3384,80,52.389883000000005,4.881516,Apartment,1800,0
3385,18,51.907178,4.460602,Room,415,1
3386,18,52.222338,6.911486999999999,Apartment,235,0
3387,13,52.378001,4.810012,Room,650,1
3388,55,53.204901,5.799608999999999,Apartment,610,0
3389,60,52.075111,4.2824919999999995,Apartment,1000,0
3390,65,52.376117,4.893867,Apartment,2600,0
3391,22,52.293475,4.978244,Room,850,0
3392,40,52.379889,4.631869,Apartment,1250,0
3393,15,52.187143,5.97778,Room,375,1
3394,15,52.394303,4.946716,Room,715,1
3395,20,50.850658,5.700793,Room,390,1
3396,12,50.853305,5.684556,Room,390,1
